candidate_id,rank,score,reasoning
CAND_0002025,1,0.7155,"Senior AI Engineer with 5.9 yrs experience; matched JD skills: FAISS, OpenSearch, Weaviate, NLP; has product company experience; 70 months in AI/ML roles; tier_1 institution (IIIT Bangalore); based in India (Trivandrum, Kerala); active in last 30 days; high recruiter response rate (80%); notice period 30 days (ideal); strong GitHub activity (97/100); certifications: NLP Specialization."
CAND_0041669,2,0.6973,"Recommendation Systems Engineer with 8.0 yrs experience; matched JD skills: FAISS, Milvus, Weaviate, Information Retrieval; has product company experience; 95 months in AI/ML roles; tier_1 institution (IIT Guwahati); based in preferred location (Noida, Uttar Pradesh); active 72 days ago; high recruiter response rate (77%); strong GitHub activity (71/100)."
CAND_0052328,3,0.6956,"Recommendation Systems Engineer with 6.5 yrs experience; matched JD skills: OpenSearch, Python; has product company experience; 77 months in AI/ML roles; tier_2 institution (VIT Vellore); based in preferred location (Pune, Maharashtra); active 78 days ago; high recruiter response rate (79%); notice period 30 days (ideal); strong GitHub activity (78/100); certifications: NLP Specialization, Google Cloud Professional ML Engineer."
CAND_0006418,4,0.691,"Machine Learning Engineer with 5.7 yrs experience; matched JD skills: Embeddings, Weaviate, Elasticsearch, Qdrant; has product company experience; 67 months in AI/ML roles; tier_1 institution (Stanford University); based in preferred location (Gurgaon, Haryana); active 78 days ago; high recruiter response rate (92%); strong GitHub activity (60/100)."
CAND_0049538,5,0.6894,"Applied ML Engineer with 5.8 yrs experience; matched JD skills: OpenSearch, Milvus, Embeddings, Elasticsearch; has product company experience; 68 months in AI/ML roles; tier_1 institution (NIT Warangal); based in India (Jaipur, Rajasthan); active in last 30 days; high recruiter response rate (72%); notice period 30 days (ideal); strong GitHub activity (91/100)."
CAND_0068351,6,0.6826,"Lead AI Engineer with 6.4 yrs experience; matched JD skills: Qdrant, Elasticsearch, Python, Ranking Systems; has product company experience; 76 months in AI/ML roles; tier_1 institution (IIIT Bangalore); based in preferred location (Delhi, Delhi); active 67 days ago; high recruiter response rate (86%); notice period 0 days (ideal); no GitHub linked."
CAND_0066999,7,0.6822,"Recommendation Systems Engineer with 5.9 yrs experience; matched JD skills: OpenSearch, FAISS, Pinecone, Information Retrieval; has product company experience; 70 months in AI/ML roles; tier_1 institution (IIIT Bangalore); based in preferred location (Delhi, Delhi); active 73 days ago; high recruiter response rate (63%); notice period 15 days (ideal); strong GitHub activity (94/100)."
CAND_0079284,8,0.6795,"Machine Learning Engineer with 4.9 yrs experience; matched JD skills: Qdrant, Elasticsearch, NLP; has product company experience; 58 months in AI/ML roles; tier_1 institution (IIT Roorkee); based in preferred location (Hyderabad, Telangana); active 67 days ago; high recruiter response rate (79%); notice period 30 days (ideal); no GitHub linked."
CAND_0007009,9,0.6788,"Recommendation Systems Engineer with 7.9 yrs experience; matched JD skills: Weaviate, Python, Embeddings, OpenSearch; has product company experience; 94 months in AI/ML roles; tier_3 institution (Symbiosis International); based in preferred location (Noida, Uttar Pradesh); active 90 days ago; high recruiter response rate (62%); notice period 30 days (ideal); strong GitHub activity (69/100); certifications: AWS Certified Machine Learning Specialty, LangChain for LLM Application Development."
CAND_0030031,10,0.6761,"AI Engineer with 5.7 yrs experience; matched JD skills: Information Retrieval, Python, NLP, Milvus; has product company experience; 67 months in AI/ML roles; tier_1 institution (IIT Bombay); based in India (Trivandrum, Kerala); active in last 30 days; high recruiter response rate (94%); notice period 30 days (ideal)."
CAND_0070514,11,0.6742,"AI Specialist with 5.5 yrs experience; matched JD skills: Pinecone, Python, FAISS, OpenSearch; has product company experience; 65 months in AI/ML roles; tier_1 institution (BITS Pilani); based in preferred location (Bangalore, Karnataka); active in last 30 days; high recruiter response rate (80%)."
CAND_0018499,12,0.6717,"Senior Machine Learning Engineer with 7.2 yrs experience; matched JD skills: Weaviate, Pinecone, Information Retrieval, Milvus; has product company experience; 86 months in AI/ML roles; tier_1 institution (Massachusetts Institute of Technology); based in preferred location (Noida, Uttar Pradesh); active 35 days ago; high recruiter response rate (61%); notice period 15 days (ideal); strong GitHub activity (95/100); certifications: Google Cloud Professional ML Engineer, NLP Specialization."
CAND_0017960,13,0.6707,"Recommendation Systems Engineer with 7.7 yrs experience; matched JD skills: Qdrant, Python, Information Retrieval; has product company experience; 91 months in AI/ML roles; tier_1 institution (IIT Delhi); based in preferred location (Bangalore, Karnataka); active 51 days ago; high recruiter response rate (72%); strong GitHub activity (92/100); certifications: Deep Learning Specialization, AWS Certified Machine Learning Specialty."
CAND_0046525,14,0.6691,"Senior Machine Learning Engineer with 6.1 yrs experience; matched JD skills: Elasticsearch, Information Retrieval, NLP, Qdrant; has product company experience; 73 months in AI/ML roles; tier_2 institution (Manipal Institute of Technology); based in preferred location (Pune, Maharashtra); active in last 30 days; high recruiter response rate (88%); certifications: NLP Specialization."
CAND_0064326,15,0.6689,"Search Engineer with 7.6 yrs experience; matched JD skills: Milvus, Weaviate, Python; has product company experience; 91 months in AI/ML roles; tier_2 institution (COEP Pune); based in preferred location (Gurgaon, Haryana); active in last 30 days; high recruiter response rate (94%); strong GitHub activity (61/100)."
CAND_0081846,16,0.6683,"Lead AI Engineer with 6.7 yrs experience; matched JD skills: Information Retrieval, Elasticsearch, Python, Embeddings; has product company experience; 79 months in AI/ML roles; tier_1 institution (IIT Hyderabad); based in India (Jaipur, Rajasthan); active 45 days ago; high recruiter response rate (73%); notice period 30 days (ideal); certifications: Google Cloud Professional ML Engineer."
CAND_0061265,17,0.6676,"Recommendation Systems Engineer with 6.6 yrs experience; matched JD skills: Qdrant, Embeddings, Milvus; has product company experience; 78 months in AI/ML roles; tier_1 institution (IIT Madras); based in preferred location (Delhi, Delhi); active 84 days ago; high recruiter response rate (94%); notice period 120 days (long); strong GitHub activity (80/100)."
CAND_0067866,18,0.666,"Senior Software Engineer (ML) with 6.4 yrs experience; matched JD skills: Embeddings, Elasticsearch, Qdrant; has product company experience; 76 months in AI/ML roles; tier_1 institution (IIT Delhi); based in preferred location (Noida, Uttar Pradesh); active in last 30 days; high recruiter response rate (79%)."
